run,iteration,fitness,run_time_sec
1,1,212.13203435596427,
1,2,212.13203435596427,
1,3,212.13203435596427,
1,4,212.13203435596427,
1,5,212.13203435596427,
1,6,212.13203435596427,
1,7,212.13203435596427,
1,8,212.13203435596427,
1,9,212.13203435596427,
1,10,212.13203435596427,
1,11,212.13203435596427,
1,12,212.13203435596427,
1,13,212.13203435596427,
1,14,212.13203435596427,
1,15,212.13203435596427,
1,16,212.13203435596427,
1,17,212.13203435596427,
1,18,212.13203435596427,
1,19,212.13203435596427,
1,20,212.13203435596427,17.91304588317871
2,1,212.13203435596427,
2,2,212.13203435596427,
2,3,212.13203435596427,
2,4,212.13203435596427,
2,5,212.13203435596427,
2,6,212.13203435596427,
2,7,212.13203435596427,
2,8,212.13203435596427,
2,9,212.13203435596427,
2,10,212.13203435596427,
2,11,212.13203435596427,
2,12,212.13203435596427,
2,13,212.13203435596427,
2,14,212.13203435596427,
2,15,212.13203435596427,
2,16,212.13203435596427,
2,17,212.13203435596427,
2,18,212.13203435596427,
2,19,212.13203435596427,
2,20,212.13203435596427,17.593940019607544
